UML Type,UID Business Object,Business Object,UID Feature,Feature,Description,UID Data Type,Data Type,UID Owner,Owner Element,Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12
Attribute,6d8fea76-e855-e911-8237-060aad038e48,DirectDebitMandate,e7fb6eb0-879e-e911-827a-06e8627b9e66,DirectDebitMandateIdentification,,Visibility=public,Multivalued=false,Mandatory=false,DefaultValue=,isDerived=false,isReadOnly=false,isType=,,MultiplicityElement.isOrdered=false,MultiplicityElement.isUnique=true,MultiplicityElement.Lower=1,MultiplicityElement.Upper=1,,,,
Attribute,6d8fea76-e855-e911-8237-060aad038e48,DirectDebitMandate,b2136499-889e-e911-827a-06e8627b9e66,DirectDebitPurpose,,Visibility=public,Multivalued=false,Mandatory=false,DefaultValue=,isDerived=false,isReadOnly=false,isType=,,MultiplicityElement.isOrdered=false,MultiplicityElement.isUnique=true,MultiplicityElement.Lower=1,MultiplicityElement.Upper=1,,,,
Attribute,6d8fea76-e855-e911-8237-060aad038e48,DirectDebitMandate,a14af7a5-889e-e911-827a-06e8627b9e66,DirectDebitServiceConfiguration,,Visibility=public,Multivalued=false,Mandatory=false,DefaultValue=,isDerived=false,isReadOnly=false,isType=,,MultiplicityElement.isOrdered=false,MultiplicityElement.isUnique=true,MultiplicityElement.Lower=1,MultiplicityElement.Upper=1,,,,
Attribute,6d8fea76-e855-e911-8237-060aad038e48,DirectDebitMandate,a5ce7451-f9a2-e911-8280-06df5c9909ce,DirectDebitSourceAccount,Reference to the account that can be used a source for the claimed amount,Visibility=public,Multivalued=false,Mandatory=false,DefaultValue=,isDerived=false,isReadOnly=false,isType=,,MultiplicityElement.isOrdered=false,MultiplicityElement.isUnique=true,MultiplicityElement.Lower=1,MultiplicityElement.Upper=1,,,,
Class,d0e746eb-474e-ea11-8289-069813aed0a6,AccountShareArrangementShare,,,,Visibility=public,isSpecification=false,isRoot=false,isLeaf=false,,isActive=false,isAbstract=false,,,,,,,,,
Class,e44d75e9-6188-e911-823e-06b09c770f0c,AgreementDocument,,,Document that will be assigned to the agreement. ,Visibility=public,isSpecification=false,isRoot=false,isLeaf=false,,isActive=false,isAbstract=false,,,,,,,,,
Attribute,e44d75e9-6188-e911-823e-06b09c770f0c,AgreementDocument,765ca90d-20a7-e911-8288-06c837085cb8,DocumentReference,Refernce to the relevant document ,Visibility=public,Multivalued=false,Mandatory=false,DefaultValue=,isDerived=false,isReadOnly=false,isType=,,MultiplicityElement.isOrdered=false,MultiplicityElement.isUnique=true,MultiplicityElement.Lower=1,MultiplicityElement.Upper=1,,,,
Class,931a4cb0-5c76-e911-823e-065f1d1f71b2,CustomerRelationshipEmployeeInvolvement,,,Employee who is involved in the customer relationship. ,Visibility=public,isSpecification=false,isRoot=false,isLeaf=false,,isActive=false,isAbstract=false,,,,,,,,,
Class,3ed6b887-2b44-ea11-8289-068ff87429a4,DeploymentConfiguration,,,Configuration for deployment of something like Product Design or Model Design,Visibility=public,isSpecification=false,isRoot=false,isLeaf=false,,isActive=false,isAbstract=false,,,,,,,,,
Attribute,3ed6b887-2b44-ea11-8289-068ff87429a4,DeploymentConfiguration,40d6b887-2b44-ea11-8289-068ff87429a4,DeploymentTask,Reference to the deployment task ,Visibility=public,Multivalued=false,Mandatory=false,DefaultValue=,isDerived=false,isReadOnly=false,isType=,,MultiplicityElement.isOrdered=false,MultiplicityElement.isUnique=true,MultiplicityElement.Lower=1,MultiplicityElement.Upper=1,,,,
