UID Generalization relation,UID Generalization,Generalization,UID Specialization,Specialization,
bc309b68-0261-e911-8237-068e13695e26,edd6e77c-0161-e911-8237-068e13695e26,AccountInvolvement,9e9f0a26-0261-e911-8237-068e13695e26,AccountServicer,
a7bb9965-5024-eb11-82d4-06982365eacb,67df07ad-1981-e911-823e-06e233b9c772,BankingProductAgreement,ca08a49e-0bd6-e911-8296-0612a84747f6,TermDepositAgreement,
fd24f26d-26d6-e911-8296-06c6ee6741dc,d579f82c-0cd6-e911-8296-0612a84747f6,TermDepositArrangement,719c9355-a89d-e911-827a-06c73ecc951a,PartyObligationEntitlement,
a7e74b79-995c-eb11-82e9-065ba105bad3,7effad6e-9965-e911-8237-06eba4258fe0,Instruction,559d87fc-985c-eb11-82e9-065ba105bad3,FeeInstruction,
d26a5088-ff60-e911-8237-068e13695e26,524614a8-f560-e911-8237-068e13695e26,CardPaymentAgreementInvolvement,b62be7b6-fb60-e911-8237-068e13695e26,CardAcceptor,
25cf6293-d76f-e911-8237-06309b11004c,eca491e3-d66f-e911-8237-06309b11004c,PaymentInstructionInvolvement,2caa471b-a065-e911-8237-06eba4258fe0,PayeeBank,
fd841bbe-67d1-e911-8296-06e952cbc5d0,6fd7342a-138d-e911-823e-067b7da9d714,System,0858d1e2-0891-e911-823e-06f3e7d1f9c0,CommunicationChannel,
619ef284-d76f-e911-8237-06309b11004c,eca491e3-d66f-e911-8237-06309b11004c,PaymentInstructionInvolvement,280ce855-9e65-e911-8237-06eba4258fe0,Payee,
bf82c7aa-2794-e911-823e-069871e4ec9c,e5593d03-2694-e911-823e-069871e4ec9c,Obligation,44b91a94-1068-e911-8237-06dd5e24f7bc,PaymentObligation,
ed62c1b5-699e-e911-827a-06e8627b9e66,f629d849-639e-e911-827a-06e8627b9e66,SavingsAccountProductFeature,3ffd5d93-e297-e911-827a-06d89370a58e,FeeProductFeature,
6ef23bb7-67d1-e911-8296-06e952cbc5d0,0858d1e2-0891-e911-823e-06f3e7d1f9c0,CommunicationChannel,10d9ab80-67d1-e911-8296-06e952cbc5d0,EBranchChannel,
